planet,epoch,tc,tc_unc,sector
0,0,2459235.6066316427,0.004335965905996339,34
0,11,2459504.435421045,0.003889893066401257,44
0,12,2459528.873242711,0.0028750729949798344,45
0,13,2459553.3041444626,0.0026631420015750555,46
0,14,2459577.7443478988,0.002370838787371633,46
0,30,2459968.7612969805,0.0023294401408196857,61
1,0,2459230.465741355,0.01971560088669491,34
1,31,2459522.018435722,0.013944838965890249,44
1,32,2459531.3812982943,0.018501131209610486,45
1,35,2459559.617596822,0.019905642422567586,46
1,36,2459569.004313331,0.015823730301022777,46
1,80,2459982.8230568906,0.015132641156099805,61
1,112,2460283.7547045625,0.01092396714493816,72
2,0,2459238.302369712,0.01900140317159585,34
2,19,2459515.022301061,0.01579452178628951,44
2,20,2459529.6177054695,0.017101095547505107,45
2,23,2459573.2825653385,0.01683779706268313,46
2,50,2459966.562643137,0.019846183389399707,61
2,51,2459981.0902786306,0.019969298908446,61
